snapshot,DK demand [MW],Battery charge [MW],DK solar generation [MW],DK onwind generation [MW],DK offwind generation [MW],DK gas CCGT generation [MW],DK coal generation [MW],DK nuclear generation [MW],DK exchange with NO [MW],DK exchange with SE [MW],DK exchange with DE [MW]
2016-01-21 08:00:00,5462.25,0.0,665.9632196291966,0.0,336.7261786088064,556.0308748941939,0.0,0.0,588.140320189904,1350.1947033389556,1965.1947033389556
2016-01-21 09:00:00,5437.97,0.0,2033.7839476743839,0.0,564.1161946442139,0.0,0.0,0.0,218.35661922713408,1003.356619227134,1618.3566192271342
2016-01-21 10:00:00,5384.66,0.0,3144.023647381634,0.0,643.8207970543585,0.0,0.0,0.0,-196.06148147866438,588.9385185213356,1203.9385185213357
2016-01-21 11:00:00,5257.03,0.0,3634.5789274678186,0.0,561.1959829179801,0.0,0.0,0.0,-374.58163679526643,410.41836320473357,1025.4183632047336
2016-01-21 12:00:00,5248.84,0.0,3149.667403480187,0.0,690.6730175443736,556.0308748941939,0.0,0.0,-444.1770986395847,340.8229013604153,955.8229013604152
2016-01-21 13:00:00,5181.69,0.0,1988.1823983980792,0.0,609.8518635918454,556.0308748941939,0.0,0.0,-52.45837896137312,732.5416210386269,1347.5416210386268
2016-01-21 14:00:00,5111.18,0.0,674.3159786550543,0.0,530.4908155024341,0.0,0.0,0.0,573.7910686141707,1358.7910686141706,1973.7910686141706
2016-01-21 15:00:00,5279.72,0.0,26.41277854122576,0.0,504.59540857715535,556.0308748941939,0.0,0.0,669.2269793291416,1454.2269793291416,2069.2269793291416
2016-01-21 16:00:00,5818.91,0.0,0.22575024394210055,0.0,523.276174767033,556.0308748941939,0.0,0.0,935.2121884966585,1594.5825057990867,2209.5825057990864
2016-01-21 17:00:00,5632.73,0.0,0.0,0.0,620.5020475345802,556.0308748941939,0.0,0.0,757.0656925237419,1542.065692523742,2157.0656925237417
2016-01-21 18:00:00,5259.67,0.0,0.0,0.0,701.752644388025,556.0308748941939,0.0,0.0,605.6288269059271,1390.628826905927,2005.628826905927
